PERMNO,DATE,n,RET,b_mkt,alpha,ivol,tvol,R2,exret
10294,1/14/2005,247,-0.45%,0.3987,0.0039,5.56%,5.67%,4.00%,-0.49%
10294,1/21/2005,248,-2.79%,0.4004,0.0038,5.55%,5.66%,4.03%,-2.29%
10294,1/28/2005,249,-0.97%,0.4002,0.0037,5.54%,5.65%,4.02%,-1.11%
10297,1/7/2005,246,1.00%,0.345,0.0054,3.44%,3.57%,7.57%,1.88%
10297,1/14/2005,247,-1.34%,0.345,0.0053,3.43%,3.57%,7.56%,-1.38%
10297,1/21/2005,248,1.06%,0.3443,0.0053,3.42%,3.56%,7.53%,1.49%
10297,1/28/2005,249,-1.62%,0.344,0.0053,3.42%,3.56%,7.51%,-1.74%
10299,1/7/2005,246,-4.64%,1.9808,0.0023,5.95%,8.20%,47.40%,0.55%
10299,1/14/2005,247,-0.14%,1.9808,0.0023,5.93%,8.18%,47.40%,-0.18%
10299,1/21/2005,248,0.81%,1.9787,0.0024,5.93%,8.17%,47.34%,3.43%
10299,1/28/2005,249,1.07%,1.9788,0.0024,5.91%,8.15%,47.34%,0.55%
10302,1/7/2005,246,-11.08%,2.3004,0.0009,8.68%,10.88%,36.31%,-5.07%
10302,1/14/2005,247,-4.41%,2.3004,0.0007,8.67%,10.86%,36.28%,-4.45%
10302,1/21/2005,248,1.60%,2.2974,0.0009,8.66%,10.84%,36.21%,4.64%
10302,1/28/2005,249,12.04%,2.2991,0.0014,8.67%,10.84%,36.09%,11.44%
10304,1/7/2005,246,-5.00%,0.3758,0.0024,2.77%,2.97%,13.02%,-4.07%
10304,1/14/2005,247,-2.03%,0.3758,0.0023,2.77%,2.97%,12.99%,-2.07%
10304,1/21/2005,248,-1.84%,0.3768,0.0023,2.76%,2.96%,13.05%,-1.37%
10304,1/28/2005,249,1.87%,0.3771,0.0023,2.76%,2.96%,13.05%,1.74%
10308,1/7/2005,246,-12.23%,0.4477,0.0038,3.78%,3.99%,10.21%,-11.12%
